,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
93,66590,KOSDAQ,우수AMS,자동차 신품 부품 제조업,"엔진, 조향 및 기아변속기 부품",2003-02-12,12월,김선우,http://woosu.co.kr,경상남도
94,46940,KOSDAQ,우원개발,기반조성 및 시설물 축조관련 전문공사업,토공사,2002-06-18,12월,김기영,http://www.woowonerd.com,서울특별시
95,215380,KOSDAQ,우정바이오,자연과학 및 공학 연구개발업,"동물실험,CRO서비스,사육장비,세척장비등",2015-05-18,12월,천병년,http://www.woojungbio.kr,경기도
96,65680,KOSDAQ,우주일렉트로,전자부품 제조업,정보통신용 초정밀커넥터,2004-01-02,12월,노영백,http://www.uju.com,경기도
97,18620,KOSDAQ,우진비앤지,의약품 제조업,"슈퍼티아, 안티펜SM",2008-05-20,12월,강석진,http://www.woogenebng.com,경기도
98,32940,KOSDAQ,원익,기계장비 및 관련 물품 도매업,"Quartz, HIC, 의료기기",1997-07-18,12월,장홍식,http://www.wonik.co.kr,경기도
99,74600,KOSDAQ,원익QnC,유리 및 유리제품 제조업,반도체용 석영유리,2003-12-12,12월,임창빈,http://www.wonikqnc.com,경상북도
100,104830,KOSDAQ,원익머트리얼즈,기초 화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등",2011-12-28,12월,한우성,http://wimco.co.kr,충청북도
101,14190,KOSDAQ,원익큐브,기타 전문 도매업,"MMA,BAM,PC,PP,목재,실란트,디지털인쇄기",1996-04-26,12월,문경수,http://www.wonikcube.com,경기도
102,131390,KOSDAQ,원익피앤이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 공정용 장비, 산업용 정류기",2011-09-27,12월,박동찬,http://www.pnesolution.com,경기도
103,30530,KOSDAQ,원익홀딩스,특수 목적용 기계 제조업,가스캐비닛,1996-09-24,12월,박영규,http://www.wonikholdings.kr,경기도
104,12620,KOSDAQ,원일특강,1차 철강 제조업,특수강,1994-06-28,12월,신용문,http://www.wonilsteel.co.kr,경기도
105,8370,KOSDAQ,원풍,플라스틱제품 제조업,플라스틱 필름,1992-12-18,12월,윤 기 로,http://www.wonpoong.co.kr,서울특별시
106,8290,KOSDAQ,원풍물산,봉제의복 제조업,남성용신사복,1997-07-18,12월,"이원기,이두식",http://www.wonpung.com,인천광역시
107,95270,KOSDAQ,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",이동통신중계기용전력증폭기,2007-09-12,12월,박천석(단독대표),http://www.wavetc.com,경기도
108,65950,KOSDAQ,웰크론,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복",2003-07-29,12월,이영규,http://www.welcron.com,서울특별시
109,76080,KOSDAQ,웰크론한텍,건물 건설업,"에너지절감설비,자동화배합설비,환경설비",2008-07-18,12월,"이영규, 이기창, 이영식",http://www.welcronhantec.co.kr,경기도
110,196700,KOSDAQ,웹스,합성고무 및 플라스틱 물질 제조업,"기능성 컴파운드, 건축외장자재",2015-08-24,12월,이재춘,http://www.waps.co.kr,부산광역시
111,69080,KOSDAQ,웹젠,소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)',2003-05-23,12월,김태영,http://company.webzen.com,경기도
112,44340,KOSDAQ,위닉스,가정용 기기 제조업,일반목적용 기계제조업,2000-10-24,12월,"윤희종, 윤철민",http://www.e-winix.co.kr,경기도
113,112040,KOSDAQ,위메이드,소프트웨어 개발 및 공급업,미르의전설2,2009-12-18,12월,장현국,http://corp.wemade.com,경기도
114,101730,KOSDAQ,위메이드맥스,소프트웨어 개발 및 공급업,실크로드 온라인,2009-06-03,12월,"장현국, 이길형 각자 대표이사",http://www.wemademax.com,경기도
115,38620,KOSDAQ,위즈코프,연료 소매업,인터넷 인프라 및 응용,2000-05-04,12월,정승환,http://www.wizit.com,서울특별시
116,36090,KOSDAQ,위지트,특수 목적용 기계 제조업,LCD 반도체,1999-12-10,12월,김상우,http://www.wizit.co.kr,인천광역시
117,136540,KOSDAQ,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",2011-05-02,12월,김보연,http://www.wins21.co.kr,경기도
118,97800,KOSDAQ,윈팩,반도체 제조업,반도체 패키징 및 테스트,2013-03-07,12월,이한규,http://www.winpac.co.kr,경기도
119,192390,KOSDAQ,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크 플레이트(건설용거푸집),2014-07-25,12월,변천섭,http://www.winhitech.co.kr,충청북도
120,36200,KOSDAQ,유니셈,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),1999-12-10,12월,"김형균,이양구(각자대표)",http://www.unisem.co.kr,경기도
121,18000,KOSDAQ,유니슨,일반 목적용 기계 제조업,"풍력발전기, 풍력타워",1996-01-10,12월,허화도,http://www.unison.co.kr,경상남도
122,11320,KOSDAQ,유니크,자동차 신품 부품 제조업,"EGR밸브, 유압솔레노이드밸브, 퓨얼벤트밸브, 퓨얼컷트밸브, 체크밸브, 케니스타 등",1993-12-29,12월,안정구,http://www.unick.co.kr,경상남도
123,86390,KOSDAQ,유니테스트,특수 목적용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",2006-12-05,12월,김종현,http://www.uni-test.com,경기도
124,48430,KOSDAQ,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","점화코일, 스파크플러그",2001-01-11,12월,엄대열,http://www.yuratech.co.kr,세종특별자치시
125,89850,KOSDAQ,유비벨록스,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등",2010-06-18,12월,이흥복,http://www.veloxsoft.com,서울특별시
126,32620,KOSDAQ,유비케어,소프트웨어 개발 및 공급업,"의사랑,유팜,미소몰",1997-05-02,12월,이상경 대표이사,http://www.ubcare.co.kr,서울특별시
127,78070,KOSDAQ,유비쿼스홀딩스,통신 및 방송 장비 제조업,"소프트웨어 개발,정보처리유선,무선통신기기,부품,컴퓨터 도소매,제조",2009-01-23,12월,이상근,http://www.ubiquoss.com,경기도
128,24800,KOSDAQ,유성티엔에스,육상 여객 운송업,"운송,C형강,차량정비",1999-12-10,12월,이명호(단독 대표이사),http://www.yoosungtns.co.kr,서울특별시
129,54930,KOSDAQ,유신,"건축기술, 엔지니어링 및 관련 기술 서비스업",토목설계 및 감리,2002-01-15,12월,"한영수, 박석성(각자대표)",http://www.yooshin.co.kr,서울특별시
130,69330,KOSDAQ,유아이디,전자부품 제조업,"ITO COATING, GLASS LAMINATION",2003-08-18,12월,박종수 (대표이사),http://www.uidkorea.co.kr,충청북도
131,49520,KOSDAQ,유아이엘,전자부품 제조업,"스마트폰 기구부품(키버튼,금속부품,부자재,악세서리 등)",2001-08-02,12월,이순영,http://www.e-uil.com,경기도
132,56090,KOSDAQ,유앤아이,의료용 기기 제조업,정형외과용 신체보정용 의료기기,2015-11-12,12월,"구자교,정준교,김정욱(각자대표)",http://www.youic.com,경기도
133,23410,KOSDAQ,유진기업,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘,1994-10-07,12월,최종성,http://www.eugenes.co.kr,경기도
134,56080,KOSDAQ,유진로봇,특수 목적용 기계 제조업,"청소로봇, 완구류외",2001-11-13,12월,박성주,http://www.yujinrobot.com,인천광역시
135,84370,KOSDAQ,유진테크,특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD,2006-01-17,12월,엄평용,http://www.eugenetech.co.kr,경기도
136,178780,KOSDAQ,유테크,상품 종합 도매업,"도광판, 몰드프레임",2015-06-30,12월,이정태,http://www.u-tech.co.kr,경기도
137,191410,KOSDAQ,육일씨엔에쓰,전자부품 제조업,IT용 Cover Glass,2015-12-24,12월,구자옥,http://www.61cns.co.kr,서울특별시
138,72770,KOSDAQ,율호,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",무선인터넷플랫폼,2007-07-25,12월,이정남,http://www.neodian.co.kr,서울특별시
139,39020,KOSDAQ,이건홀딩스,제재 및 목재 가공업,창호,2000-05-04,12월,안기명,http://www.eagon.com,인천광역시
140,67920,KOSDAQ,이글루시큐리티,기타 정보 서비스업,"통합보안관리솔루션, 보안관제서비스",2010-08-04,12월,이득춘,http://www.igloosec.co.kr,서울특별시
141,44960,KOSDAQ,이글벳,기타 전문 도매업,"아바텍,아목사실린사 등",2000-11-16,12월,"강승조, 강태성(각자 대표이사)",http://www.eaglevet.com,충청남도
142,73490,KOSDAQ,이노와이어리스,통신 및 방송 장비 제조업,통신용 시험 및 계측장비,2005-02-04,12월,곽영수,http://www.innowireless.co.kr,경기도
143,88390,KOSDAQ,이녹스,그외 기타 운송장비 제조업,"FPCB소재,반도체PKG소재,디스플레이소재,OLED소재",2006-10-20,12월,박정진,http://www.innoxcorp.com,충청남도
144,53350,KOSDAQ,이니텍,소프트웨어 개발 및 공급업,정보보안 및 인증솔루션,2001-11-15,12월,강석모,http://www.initech.com,서울특별시
145,41520,KOSDAQ,이라이콤,상품 중개업,TFT-LCD용 Back Light Unit,2003-07-04,12월,김성익,http://www.e-litecom.com,경기도
146,54210,KOSDAQ,이랜텍,전자부품 제조업,Battery Pack,2002-05-09,12월,이세용,http://www.elentec.co.kr,경기도
147,65440,KOSDAQ,이루온,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,2003-01-28,12월,"이승구, 이영성 (각자 대표이사)",http://eluon.com,경기도
148,115610,KOSDAQ,이미지스,반도체 제조업,"터치스크린칩, 햅틱칩",2010-02-26,12월,김정철,http://imagis.co.kr,경기도
149,78020,KOSDAQ,이베스트투자증권,금융 지원 서비스업,유가증권위탁매매,2007-02-21,12월,김원규,http://www.ebestsec.co.kr,서울특별시
150,131400,KOSDAQ,이브이첨단소재,전자부품 제조업,연성회로기판,2010-12-27,12월,김성범,http://www.actfpc.com,대구광역시
151,80010,KOSDAQ,이상네트웍스,상품 중개업,기업간전자상거래서비스,2005-09-30,12월,김기배,http://www.e-sang.net,서울특별시
152,86890,KOSDAQ,이수앱지스,의료용품 및 기타 의약 관련제품 제조업,"항체치료제,효소치료제",2009-02-03,12월,박상호,http://www.abxis.com,경기도
153,900110,KOSDAQ,이스트아시아홀딩스,기타 금융업,"스포츠화, 스포츠의류",2010-04-23,12월,"정강위, 정소영",http://www.qiuzhi.com,홍콩
154,102710,KOSDAQ,이엔에프테크놀로지,기타 화학제품 제조업,LCD/반도체용 케미칼,2009-05-28,12월,"지용석,김정수(각자대표)",http://www.enftech.com/,경기도
155,66980,KOSDAQ,이엔코퍼레이션,기타 정보 서비스업,온라인정보제공,2003-01-17,12월,오태석,http://www.encorp.co.kr,서울특별시
156,123570,KOSDAQ,이엠넷,광고업,온라인 검색광고 대행,2011-11-25,12월,김영원,http://www.emnet.co.kr,서울특별시
157,83470,KOSDAQ,이엠앤아이,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품",2008-09-18,12월,대표이사 고창훈,http://www.kjpretech.com,경기도
158,95190,KOSDAQ,이엠코리아,특수 목적용 기계 제조업,CNC공작기계등,2007-10-29,12월,강삼수,http://www.yesemk.com,경상남도
159,91120,KOSDAQ,이엠텍,전자부품 제조업,"마이크로스피커,리시버",2007-05-02,12월,"정승규, 이석근",http://www.em-tech.co.kr,경상남도
160,39030,KOSDAQ,이오테크닉스,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,2000-08-24,12월,"성규동,박종구(각자대표이사)",http://www.eotechnics.com,경기도
161,88290,KOSDAQ,이원컴포텍,자동차 신품 부품 제조업,에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트,2009-12-01,12월,"이경훈, 홍진영(각자대표)",http://www.ewonseat.co.kr,전라북도
162,35810,KOSDAQ,이지홀딩스,동물용 사료 및 조제식품 제조업,지주회사,1999-11-23,12월,"지현욱,김충석(각자대표)",http://www.easyholdings.co.kr,서울특별시
163,160600,KOSDAQ,이큐셀,특수 목적용 기계 제조업,"진공합착기, NPS",2015-06-26,12월,송효선,http://www.sntek.com,경기도
164,92130,KOSDAQ,이크레더블,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발",2008-10-24,12월,이진옥,http://www.ecredible.co.kr,서울특별시
165,96040,KOSDAQ,이트론,기타 전문 도매업,컴퓨터 및 주변장치 제조,2008-01-25,12월,김명종,http://www.e-trons.co.kr,서울특별시
166,1840,KOSDAQ,이화공영,건물 건설업,도급공사,1994-11-23,12월,"최삼규,최종찬",http://www.ee-hwa.co.kr,서울특별시
167,24810,KOSDAQ,이화전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",무정전전원공급장치,1994-12-29,12월,김성규,http://www.eti21.com,서울특별시
168,41830,KOSDAQ,인바디,의료용 기기 제조업,정밀 체성분 분석기,2000-12-14,12월,차기철,http://www.inbody.com,서울특별시
169,79950,KOSDAQ,인베니아,특수 목적용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기",2005-02-04,12월,구동범,http://www.inveniacorp.com,경기도
170,60150,KOSDAQ,인선이엔티,폐기물 처리업,건축폐기물처리,2002-06-14,12월,이준길,http://www.insun.co.kr,경기도
171,33230,KOSDAQ,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션,1999-07-30,12월,원종윤,http://www.insunginfo.co.kr,서울특별시
172,37330,KOSDAQ,인지디스플레,전자부품 제조업,"TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME",1999-12-14,12월,"정구용,김용구,정혜승",http://www.inzidisplay.co.kr,경기도
173,83640,KOSDAQ,인콘,통신 및 방송 장비 제조업,영상보안장비 및 영상보안솔루션,2005-12-27,12월,"도중식, 최영훈(각자대표)",http://www.in-con.biz,경기도
174,49070,KOSDAQ,인탑스,통신 및 방송 장비 제조업,휴대전화기용부품,2002-02-21,12월,"김근하, 정사진(각자대표)",http://WWW.INTOPS.CO.KR,경기도
175,119610,KOSDAQ,인터로조,의료용 기기 제조업,"콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)",2010-07-28,12월,노시철,http://interojo.com,경기도
176,17250,KOSDAQ,인터엠,영상 및 음향기기 제조업,음향기기,1996-01-03,09월,조남용,http://www.inter-m.co.kr,경기도
177,35080,KOSDAQ,인터파크,무점포 소매업,전자상거래,1999-07-05,12월,"이기형, 강동화(각자 대표이사)",http://www.interpark.com,서울특별시
178,51370,KOSDAQ,인터플렉스,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,12월,신일운,http://www.interflex.co.kr,경기도
179,64290,KOSDAQ,인텍플러스,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",2011-01-05,12월,이상윤,http://www.intekplus.com,대전광역시
180,150840,KOSDAQ,인트로메딕,의료용 기기 제조업,"캡슐내시경, 일회용 연성내시경",2013-12-19,12월,"조용석, 권혁찬 (각자대표이사)",http://www.intromedic.co.kr,서울특별시
181,48530,KOSDAQ,인트론바이오,기초 의약물질 및 생물학적 제제 제조업,"바이오 신약, 분자진단제품, 동물용항생제대체재",2011-01-26,12월,"윤성준, 윤경원(각자대표)",http://www.intron.co.kr/,경기도
182,175140,KOSDAQ,인포마크,통신 및 방송 장비 제조업,"웨어러블 디바이스, 모바일 라우터",2015-09-23,12월,최혁,http://www.infomark.co.kr,경기도
183,115310,KOSDAQ,인포바인,전기 통신업,휴대폰인증서보관서비스(UBIKey),2010-02-09,12월,권 성 준,http://www.infovine.co.kr,서울특별시
184,39290,KOSDAQ,인포뱅크,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",2006-07-04,12월,박태형,http://www.infobank.net,경기도
185,37440,KOSDAQ,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업",설계 및 감리용역,2000-02-03,12월,"정영균, 이목운, 허철호 (각자대표)",http://www.heerim.com,서울특별시
